Sales_Key,Order_ID,Order_Line_ID,Order_Date,Year,Quarter,Month,Month_Name,Region,Country,State,City,Product,Category,Sub_Category,Unit_Cost,Unit_Price,Customer,Segment,Customer_Rating,Customer_Key,Salesperson,Salesperson_Key,Channel,Quantity,Sales_Amount,Discount_Amount,Cost_Amount,Profit_Amount,Shipping_Cost,Net_Revenue,Payment_Mode,Is_Returned
38563,ORD-2024-024611,1,2024-02-05,2024,Q1,2,February,East,India,West Bengal,Kolkata,Kitchenware Treat 1,Home Goods,Kitchenware,2505.94,3354.18,Nicole Sanchez,Consumer,3.5,2624,Diane Smith,92.0,Distributor,4,13662.23,1358.21,10023.76,2280.26,18.78,12304.02,UPI,0
40074,ORD-2025-025574,2,2025-11-16,2025,Q4,11,November,North,India,Rajasthan,Jaipur,Kitchenware Treat 1,Home Goods,Kitchenware,2505.94,3354.18,Daniel Fox,Consumer,3.9,811,,,Online,2,6632.76,442.32,5011.88,1178.56,88.1,6190.4400000000005,Net Banking,0
42291,ORD-2022-027029,1,2022-09-08,2022,Q3,9,September,East,India,Jharkhand,Ranchi,Kitchenware Treat 1,Home Goods,Kitchenware,2505.94,3354.18,Angel Hayes,Consumer,2.7,4731,,,Online,2,6641.54,377.14,5011.88,1252.52,79.94,6264.4,UPI,0
43110,ORD-2022-027559,1,2022-01-08,2022,Q1,1,January,West,India,Goa,Panaji,Kitchenware Treat 1,Home Goods,Kitchenware,2505.94,3354.18,Charles Lester,Corporate,2.6,191,Cindy Garza,88.0,Retail Store,3,10223.3,586.89,7517.82,2118.59,74.06,9636.41,UPI,0
49484,ORD-2025-031617,1,2025-02-20,2025,Q1,2,February,East,India,Odisha,Bhubaneswar,Kitchenware Treat 1,Home Goods,Kitchenware,2505.94,3354.18,Amber Obrien,Consumer,2.0,153,Danielle Lucas,15.0,Online,2,6761.38,481.19,5011.88,1268.31,76.95,6280.1900000000005,COD,0
57140,ORD-2022-036502,3,2022-12-17,2022,Q4,12,December,Central,India,Madhya Pradesh,Bhopal,Kitchenware Treat 1,Home Goods,Kitchenware,2505.94,3354.18,Heather Hernandez,Consumer,4.1,1796,,,Online,2,6593.76,730.52,5011.88,851.36,65.17,5863.24,UPI,1
57630,ORD-2024-036831,1,2024-06-27,2024,Q2,6,June,South,India,Telangana,Hyderabad,Kitchenware Treat 1,Home Goods,Kitchenware,2505.94,3354.18,Daniel Merritt,Corporate,3.6,4745,Taylor Parsons,103.0,Distributor,2,6659.21,545.34,5011.88,1101.99,26.76,6113.87,Net Banking,0
59492,ORD-2025-038026,1,2025-03-27,2025,Q1,3,March,West,India,Maharashtra,Mumbai,Kitchenware Treat 1,Home Goods,Kitchenware,2505.94,3354.18,Mark Hernandez,SMB,4.1,7976,Shawn Patel,86.0,Retail Store,2,6765.28,167.94,5011.88,1585.46,28.37,6597.34,COD,0
60909,ORD-2023-038927,1,2023-11-07,2023,Q4,11,November,North,India,Delhi,New Delhi,Kitchenware Treat 1,Home Goods,Kitchenware,2505.94,3354.18,Kevin Stokes,SMB,3.4,7673,Alison Miller,19.0,Retail Store,1,3355.88,65.11,2505.94,784.83,24.39,3290.77,Credit Card,0
66091,ORD-2022-042252,1,2022-05-05,2022,Q2,5,May,Central,India,Himachal Pradesh,Shimla,Kitchenware Treat 1,Home Goods,Kitchenware,2505.94,3354.18,Kevin Nguyen,Corporate,3.8,1234,,,Online,5,16701.36,1328.08,12529.7,2843.58,88.32,15373.28,UPI,0
79327,ORD-2023-050687,1,2023-11-05,2023,Q4,11,November,South,India,Karnataka,Bengaluru,Kitchenware Treat 1,Home Goods,Kitchenware,2505.94,3354.18,Jill Martin,Corporate,4.1,2735,,,Online,1,3338.39,315.9,2505.94,516.55,28.02,3022.49,COD,0
81198,ORD-2023-051912,1,2023-11-10,2023,Q4,11,November,West,India,Maharashtra,Mumbai,Kitchenware Treat 1,Home Goods,Kitchenware,2505.94,3354.18,Jacob Cabrera,SMB,4.6,7784,Tammy Nguyen,2.0,Retail Store,1,3387.32,290.19,2505.94,591.19,20.3,3097.13,Credit Card,0
84815,ORD-2025-054199,1,2025-05-02,2025,Q2,5,May,South,India,Karnataka,Bengaluru,Kitchenware Treat 1,Home Goods,Kitchenware,2505.94,3354.18,Holly Rivas,Consumer,2.8,5366,,,Online,2,6678.8,391.73,5011.88,1275.19,24.99,6287.07,Credit Card,0
97903,ORD-2023-062678,1,2023-04-15,2023,Q2,4,April,West,India,Maharashtra,Mumbai,Kitchenware Treat 1,Home Goods,Kitchenware,2505.94,3354.18,William Leblanc,Consumer,4.1,6780,,,Online,1,3399.37,367.75,2505.94,525.68,29.18,3031.62,UPI,0
102039,ORD-2023-065334,1,2023-09-29,2023,Q3,9,September,East,India,Bihar,Patna,Kitchenware Treat 1,Home Goods,Kitchenware,2505.94,3354.18,Reginald Knapp,Corporate,4.0,426,Robert Bailey,102.0,Retail Store,1,3350.98,316.09,2505.94,528.95,74.26,3034.89,UPI,0
104050,ORD-2023-066627,2,2023-06-02,2023,Q2,6,June,North,India,Uttar Pradesh,Lucknow,Kitchenware Treat 1,Home Goods,Kitchenware,2505.94,3354.18,Sandy Adkins,Consumer,3.4,2009,,,Online,5,16492.21,1683.76,12529.7,2278.75,59.23,14808.449999999999,UPI,0
108300,ORD-2022-069344,1,2022-06-26,2022,Q2,6,June,South,India,Karnataka,Bengaluru,Kitchenware Treat 1,Home Goods,Kitchenware,2505.94,3354.18,Tommy Hood,Corporate,4.3,2530,,,Online,1,3320.49,357.17,2505.94,457.38,30.29,2963.3199999999997,Credit Card,0
111717,ORD-2025-071530,2,2025-01-01,2025,Q1,1,January,South,India,Tamil Nadu,Chennai,Kitchenware Treat 1,Home Goods,Kitchenware,2505.94,3354.18,Crystal Collins,Consumer,4.5,4332,,,Online,2,6684.17,454.1,5011.88,1218.19,27.63,6230.07,Credit Card,0
113748,ORD-2022-072811,1,2022-02-11,2022,Q1,2,February,West,India,Maharashtra,Pune,Kitchenware Treat 1,Home Goods,Kitchenware,2505.94,3354.18,Lauren Coleman,Consumer,4.3,6383,,,Online,3,9865.85,1532.09,7517.82,815.94,18.7,8333.76,Net Banking,0
115825,ORD-2022-074166,1,2022-08-19,2022,Q3,8,August,West,India,Maharashtra,Mumbai,Kitchenware Treat 1,Home Goods,Kitchenware,2505.94,3354.18,David Jones,Corporate,4.2,7532,Erin Mcdowell,105.0,Retail Store,2,6593.43,261.62,5011.88,1319.93,23.83,6331.81,Credit Card,0
116367,ORD-2025-074518,2,2025-05-25,2025,Q2,5,May,North,India,Rajasthan,Jaipur,Kitchenware Treat 1,Home Goods,Kitchenware,2505.94,3354.18,Terri Pennington,Consumer,5.0,7355,,,Online,1,3403.92,351.85,2505.94,546.13,70.83,3052.07,COD,0
117021,ORD-2024-074946,2,2024-01-27,2024,Q1,1,January,South,India,Telangana,Hyderabad,Kitchenware Treat 1,Home Goods,Kitchenware,2505.94,3354.18,Jordan Williams,Corporate,3.7,5316,Michelle Hall,30.0,Retail Store,5,16574.64,1227.96,12529.7,2816.98,27.62,15346.68,UPI,0
117639,ORD-2025-075339,2,2025-04-26,2025,Q2,4,April,South,India,Kerala,Kochi,Kitchenware Treat 1,Home Goods,Kitchenware,2505.94,3354.18,Christina Wilson,Corporate,3.8,3606,Jessica Lane,20.0,Retail Store,2,6702.95,245.84,5011.88,1445.23,68.61,6457.11,UPI,0
119079,ORD-2022-076246,1,2022-07-29,2022,Q3,7,July,East,India,West Bengal,Kolkata,Kitchenware Treat 1,Home Goods,Kitchenware,2505.94,3354.18,Shelly Spencer,Corporate,4.1,301,Noah Briggs,64.0,Retail Store,1,3360.68,260.38,2505.94,594.36,29.31,3100.2999999999997,Credit Card,0
119510,ORD-2024-076525,1,2024-12-27,2024,Q4,12,December,East,India,West Bengal,Kolkata,Kitchenware Treat 1,Home Goods,Kitchenware,2505.94,3354.18,Dana Bennett,Consumer,3.9,601,,,Online,1,3295.6,350.06,2505.94,439.6,19.39,2945.54,UPI,0
1328,ORD-2025-000873,1,2025-11-30,2025,Q4,11,November,South,India,Tamil Nadu,Chennai,Kidswear Shoulder 2,Apparel,Kidswear,2257.6,3434.22,Cheryl Petersen,Consumer,4.4,6137,,,Online,5,17029.95,2063.89,11288.0,3678.06,12.07,14966.060000000001,UPI,0
4187,ORD-2024-002651,1,2024-11-13,2024,Q4,11,November,Central,India,Himachal Pradesh,Shimla,Kidswear Shoulder 2,Apparel,Kidswear,2257.6,3434.22,Rebecca Oneill,Consumer,3.7,4952,,,Online,2,6840.99,906.29,4515.2,1419.5,51.79,5934.7,Net Banking,0
6589,ORD-2024-004171,2,2024-02-20,2024,Q1,2,February,South,India,Telangana,Hyderabad,Kidswear Shoulder 2,Apparel,Kidswear,2257.6,3434.22,William Keith,Consumer,4.4,809,,,Marketplace,3,10440.21,1706.89,6772.8,1960.52,16.1,8733.32,Credit Card,0
7328,ORD-2023-004642,1,2023-09-19,2023,Q3,9,September,South,India,Kerala,Kochi,Kidswear Shoulder 2,Apparel,Kidswear,2257.6,3434.22,Amanda Barber,Corporate,4.7,3216,,,Online,1,3486.14,295.37,2257.6,933.17,48.61,3190.77,Net Banking,0
7649,ORD-2023-004853,2,2023-11-02,2023,Q4,11,November,North,India,Delhi,New Delhi,Kidswear Shoulder 2,Apparel,Kidswear,2257.6,3434.22,Brandon Edwards,Consumer,3.9,2819,,,Online,6,20696.34,2258.65,13545.6,4892.09,16.47,18437.69,UPI,0
9252,ORD-2024-005872,2,2024-07-07,2024,Q3,7,July,West,India,Madhya Pradesh,Indore,Kidswear Shoulder 2,Apparel,Kidswear,2257.6,3434.22,Joseph Moon,Consumer,2.6,4004,,,Online,1,3441.8,413.55,2257.6,770.65,49.96,3028.25,UPI,0
9956,ORD-2023-006323,2,2023-02-05,2023,Q1,2,February,West,India,Maharashtra,Mumbai,Kidswear Shoulder 2,Apparel,Kidswear,2257.6,3434.22,Natalie Bautista,Consumer,3.2,178,,,Marketplace,2,6801.39,1089.43,4515.2,1196.76,14.51,5711.96,Credit Card,0
12135,ORD-2023-007722,1,2023-05-28,2023,Q2,5,May,South,India,Tamil Nadu,Chennai,Kidswear Shoulder 2,Apparel,Kidswear,2257.6,3434.22,Melissa Sanchez,Corporate,2.7,3497,Dylan Baker,56.0,Retail Store,5,17171.48,100.79,11288.0,5782.69,12.5,17070.69,UPI,0
12374,ORD-2023-007870,1,2023-03-22,2023,Q1,3,March,West,India,Maharashtra,Mumbai,Kidswear Shoulder 2,Apparel,Kidswear,2257.6,3434.22,Jacob Cabrera,SMB,4.6,7784,,,Online,5,17057.35,1191.42,11288.0,4577.93,15.52,15865.929999999998,Wire Transfer,0
12914,ORD-2024-008219,1,2024-11-15,2024,Q4,11,November,Central,India,Uttar Pradesh,Kanpur,Kidswear Shoulder 2,Apparel,Kidswear,2257.6,3434.22,Michael Johnson,Consumer,4.2,6415,,,Online,1,3480.2,1001.33,2257.6,221.27,38.39,2478.87,Net Banking,0
13045,ORD-2022-008309,1,2022-03-08,2022,Q1,3,March,South,India,Karnataka,Bengaluru,Kidswear Shoulder 2,Apparel,Kidswear,2257.6,3434.22,Daniel Smith,Corporate,3.8,6480,,,Marketplace,2,6747.4,986.61,4515.2,1245.59,10.77,5760.79,Credit Card,0
14963,ORD-2023-009519,2,2023-10-03,2023,Q4,10,October,South,India,Andhra Pradesh,Visakhapatnam,Kidswear Shoulder 2,Apparel,Kidswear,2257.6,3434.22,Hector Mcgee,Consumer,3.3,3631,Yvonne Patterson,12.0,Distributor,2,6900.67,301.68,4515.2,2083.79,34.32,6598.99,UPI,0
15537,ORD-2024-009882,1,2024-08-06,2024,Q3,8,August,North,India,Rajasthan,Jaipur,Kidswear Shoulder 2,Apparel,Kidswear,2257.6,3434.22,John Rodriguez,Consumer,3.6,5074,,,Marketplace,3,10330.93,1365.28,6772.8,2192.85,35.18,8965.65,UPI,0
16235,ORD-2023-010332,2,2023-04-29,2023,Q2,4,April,West,India,Maharashtra,Pune,Kidswear Shoulder 2,Apparel,Kidswear,2257.6,3434.22,James Griffith,Consumer,4.6,3181,Shelly Jackson,93.0,Online,3,10165.42,814.08,6772.8,2578.54,16.68,9351.34,Credit Card,0
18537,ORD-2025-011837,4,2025-02-20,2025,Q1,2,February,North,India,Haryana,Gurugram,Kidswear Shoulder 2,Apparel,Kidswear,2257.6,3434.22,Debbie Schneider,Consumer,4.1,4428,Nicole Lewis,27.0,Online,1,3391.02,309.48,2257.6,823.94,36.52,3081.54,Credit Card,0
19244,ORD-2023-012301,1,2023-06-08,2023,Q2,6,June,South,India,Telangana,Hyderabad,Kidswear Shoulder 2,Apparel,Kidswear,2257.6,3434.22,Larry Harris,Consumer,3.0,529,Daniel Martinez,34.0,Online,1,3475.3,267.47,2257.6,950.23,15.99,3207.83,UPI,0
19474,ORD-2023-012448,2,2023-07-30,2023,Q3,7,July,Central,India,Uttar Pradesh,Kanpur,Kidswear Shoulder 2,Apparel,Kidswear,2257.6,3434.22,Rebecca Estrada,Corporate,3.9,4142,,,Marketplace,1,3476.86,251.38,2257.6,967.88,39.75,3225.48,Credit Card,0
20525,ORD-2024-013112,2,2024-05-24,2024,Q2,5,May,South,India,Telangana,Hyderabad,Kidswear Shoulder 2,Apparel,Kidswear,2257.6,3434.22,Cynthia Bates,Consumer,4.6,1561,,,Online,2,6807.78,613.24,4515.2,1679.34,10.92,6194.54,UPI,0
22150,ORD-2023-014118,1,2023-11-28,2023,Q4,11,November,North,India,Uttar Pradesh,Lucknow,Kidswear Shoulder 2,Apparel,Kidswear,2257.6,3434.22,Tom Duncan,Consumer,3.3,3266,,,Online,3,10436.64,1003.69,6772.8,2660.15,46.54,9432.949999999999,Credit Card,0
23063,ORD-2022-014697,1,2022-11-29,2022,Q4,11,November,West,India,Maharashtra,Pune,Kidswear Shoulder 2,Apparel,Kidswear,2257.6,3434.22,Colleen Rivera,Consumer,4.2,7712,,,Online,1,3395.0,423.03,2257.6,714.37,13.07,2971.9700000000003,UPI,0
23986,ORD-2022-015290,1,2022-06-12,2022,Q2,6,June,West,India,Maharashtra,Mumbai,Kidswear Shoulder 2,Apparel,Kidswear,2257.6,3434.22,Nicole Jones,Consumer,3.5,6741,,,Online,2,6811.59,856.43,4515.2,1439.96,12.3,5955.16,COD,0
27067,ORD-2022-017242,1,2022-04-08,2022,Q2,4,April,East,India,Odisha,Bhubaneswar,Kidswear Shoulder 2,Apparel,Kidswear,2257.6,3434.22,Rebecca Brooks,Consumer,4.7,5378,,,Marketplace,7,24108.21,3078.72,15803.2,5226.29,50.17,21029.489999999998,UPI,0
27291,ORD-2022-017379,1,2022-01-11,2022,Q1,1,January,West,India,Maharashtra,Pune,Kidswear Shoulder 2,Apparel,Kidswear,2257.6,3434.22,Stephanie Miller,Consumer,4.1,6830,Maria Dixon,73.0,Distributor,2,6900.32,636.12,4515.2,1749.0,12.63,6264.2,UPI,0
27817,ORD-2024-017697,1,2024-12-24,2024,Q4,12,December,East,India,West Bengal,Kolkata,Kidswear Shoulder 2,Apparel,Kidswear,2257.6,3434.22,Eric Walker,Corporate,4.4,3588,Eric Parker,87.0,Retail Store,1,3387.15,102.52,2257.6,1027.03,14.56,3284.63,Credit Card,0
30135,ORD-2023-019203,1,2023-02-12,2023,Q1,2,February,East,India,Bihar,Patna,Kidswear Shoulder 2,Apparel,Kidswear,2257.6,3434.22,Ricky Reid,Corporate,3.7,7705,Jill Stevens,44.0,Retail Store,1,3411.75,61.59,2257.6,1092.56,49.95,3350.16,UPI,0
30533,ORD-2023-019460,1,2023-11-15,2023,Q4,11,November,South,India,Karnataka,Bengaluru,Kidswear Shoulder 2,Apparel,Kidswear,2257.6,3434.22,Paul Lawrence,Corporate,3.1,705,Dean Evans,90.0,Online,1,3389.36,585.92,2257.6,545.84,17.15,2803.44,COD,0
31693,ORD-2025-020188,1,2025-06-28,2025,Q2,6,June,West,India,Gujarat,Ahmedabad,Kidswear Shoulder 2,Apparel,Kidswear,2257.6,3434.22,Stephanie Fields,Consumer,3.0,1568,Michelle Stevens,24.0,Retail Store,1,3463.61,167.17,2257.6,1038.84,35.24,3296.44,Credit Card,0
33617,ORD-2023-021451,1,2023-12-03,2023,Q4,12,December,Central,India,Chhattisgarh,Raipur,Kidswear Shoulder 2,Apparel,Kidswear,2257.6,3434.22,Amanda Thomas,SMB,3.7,1676,Jasmine Hahn,37.0,Retail Store,1,3489.72,195.76,2257.6,1036.36,42.28,3293.96,Credit Card,0
34379,ORD-2024-021929,1,2024-08-11,2024,Q3,8,August,Central,India,Madhya Pradesh,Bhopal,Kidswear Shoulder 2,Apparel,Kidswear,2257.6,3434.22,Wendy Wright,Consumer,3.5,2662,,,Online,4,13917.15,3053.21,9030.4,1833.54,46.01,10863.939999999999,UPI,0
38070,ORD-2023-024298,1,2023-05-09,2023,Q2,5,May,North,India,Rajasthan,Jaipur,Kidswear Shoulder 2,Apparel,Kidswear,2257.6,3434.22,Jennifer Nguyen,Consumer,3.1,5612,Felicia Matthews,43.0,Retail Store,3,10227.35,604.05,6772.8,2850.5,39.3,9623.300000000001,Net Banking,0
40979,ORD-2024-026163,2,2024-02-06,2024,Q1,2,February,South,India,Tamil Nadu,Chennai,Kidswear Shoulder 2,Apparel,Kidswear,2257.6,3434.22,Alexis Tucker,Consumer,3.3,1691,Jesse Yang,89.0,Retail Store,1,3432.09,132.61,2257.6,1041.88,13.3,3299.48,Credit Card,0
43701,ORD-2024-027942,3,2024-05-08,2024,Q2,5,May,Central,India,Madhya Pradesh,Bhopal,Kidswear Shoulder 2,Apparel,Kidswear,2257.6,3434.22,Heather Hernandez,Consumer,4.1,1796,,,Online,3,10290.17,1674.09,6772.8,1843.28,36.01,8616.08,UPI,0
47429,ORD-2022-030301,2,2022-04-30,2022,Q2,4,April,East,India,West Bengal,Kolkata,Kidswear Shoulder 2,Apparel,Kidswear,2257.6,3434.22,Samantha Howard,Consumer,5.0,1577,,,Online,4,13752.32,1159.49,9030.4,3562.43,11.42,12592.83,Credit Card,0
48836,ORD-2022-031207,1,2022-05-30,2022,Q2,5,May,West,India,Goa,Panaji,Kidswear Shoulder 2,Apparel,Kidswear,2257.6,3434.22,Danny Harris,Consumer,4.4,4569,Cindy Garza,88.0,Marketplace,3,10098.58,3091.58,6772.8,234.2,37.91,7007.0,UPI,0
49006,ORD-2025-031314,1,2025-08-18,2025,Q3,8,August,Central,India,Himachal Pradesh,Shimla,Kidswear Shoulder 2,Apparel,Kidswear,2257.6,3434.22,Julian Williams,Consumer,4.4,1809,,,Online,1,3389.69,818.66,2257.6,313.43,51.77,2571.03,UPI,0
49039,ORD-2025-031332,2,2025-12-20,2025,Q4,12,December,East,India,West Bengal,Kolkata,Kidswear Shoulder 2,Apparel,Kidswear,2257.6,3434.22,Earl Hall,Consumer,3.3,4318,Eric Parker,87.0,Retail Store,3,10430.38,138.52,6772.8,3519.06,15.11,10291.859999999999,UPI,1
50003,ORD-2025-031946,1,2025-09-27,2025,Q3,9,September,Central,India,Uttar Pradesh,Kanpur,Kidswear Shoulder 2,Apparel,Kidswear,2257.6,3434.22,Connie Robinson,Corporate,3.4,16,Jacqueline Ford,119.0,Distributor,1,3471.34,270.64,2257.6,943.1,43.88,3200.7000000000003,Credit Card,0
50159,ORD-2023-032038,3,2023-09-28,2023,Q3,9,September,South,India,Tamil Nadu,Chennai,Kidswear Shoulder 2,Apparel,Kidswear,2257.6,3434.22,Christopher Porter,Consumer,3.9,1697,,,Online,1,3396.98,235.77,2257.6,903.61,12.69,3161.21,Net Banking,0
50537,ORD-2023-032270,1,2023-02-13,2023,Q1,2,February,North,India,Delhi,New Delhi,Kidswear Shoulder 2,Apparel,Kidswear,2257.6,3434.22,Steven Perez,Consumer,3.8,6619,Alison Miller,19.0,Marketplace,1,3435.86,572.2,2257.6,606.06,16.5,2863.66,COD,0
53364,ORD-2025-034078,1,2025-12-25,2025,Q4,12,December,Central,India,Chhattisgarh,Raipur,Kidswear Shoulder 2,Apparel,Kidswear,2257.6,3434.22,David Mcdaniel,Consumer,4.6,1435,Nancy Hogan,54.0,Retail Store,2,6932.14,321.79,4515.2,2095.15,47.08,6610.35,UPI,0
55898,ORD-2025-035688,3,2025-06-03,2025,Q2,6,June,South,India,Telangana,Hyderabad,Kidswear Shoulder 2,Apparel,Kidswear,2257.6,3434.22,Debra Smith,Consumer,3.9,5108,,,Online,1,3428.48,207.04,2257.6,963.84,12.87,3221.44,UPI,0
55911,ORD-2022-035696,3,2022-06-06,2022,Q2,6,June,North,India,Punjab,Chandigarh,Kidswear Shoulder 2,Apparel,Kidswear,2257.6,3434.22,Brittany Heath,Consumer,5.0,3752,Alice May,79.0,Marketplace,1,3449.19,490.53,2257.6,701.06,41.39,2958.66,Credit Card,0
57982,ORD-2025-037055,1,2025-12-05,2025,Q4,12,December,West,India,Maharashtra,Mumbai,Kidswear Shoulder 2,Apparel,Kidswear,2257.6,3434.22,Robert Miller,Corporate,3.8,5862,Shannon Hernandez,23.0,Retail Store,2,6915.25,578.27,4515.2,1821.78,15.49,6336.98,Credit Card,0
58026,ORD-2025-037087,1,2025-07-29,2025,Q3,7,July,East,India,Assam,Guwahati,Kidswear Shoulder 2,Apparel,Kidswear,2257.6,3434.22,Brian Harris,Consumer,3.8,845,,,Online,1,3444.2,415.42,2257.6,771.18,43.26,3028.7799999999997,Credit Card,0
59071,ORD-2024-037761,1,2024-08-13,2024,Q3,8,August,Central,India,Uttar Pradesh,Kanpur,Kidswear Shoulder 2,Apparel,Kidswear,2257.6,3434.22,Stephen Lopez,Consumer,2.9,3655,Jacqueline Ford,119.0,Marketplace,3,10408.97,1169.76,6772.8,2466.41,40.05,9239.21,Wire Transfer,0
60078,ORD-2023-038400,1,2023-09-03,2023,Q3,9,September,West,India,Maharashtra,Mumbai,Kidswear Shoulder 2,Apparel,Kidswear,2257.6,3434.22,Katherine Taylor,SMB,3.4,647,Shawn Patel,86.0,Retail Store,1,3418.67,138.71,2257.6,1022.36,16.01,3279.96,COD,0
60110,ORD-2024-038422,1,2024-04-20,2024,Q2,4,April,North,India,Delhi,New Delhi,Kidswear Shoulder 2,Apparel,Kidswear,2257.6,3434.22,Daniel Mercer,SMB,4.3,3524,Alison Miller,19.0,Online,1,3449.51,242.53,2257.6,949.38,13.66,3206.98,Credit Card,0
62850,ORD-2022-040170,1,2022-11-25,2022,Q4,11,November,South,India,Telangana,Hyderabad,Kidswear Shoulder 2,Apparel,Kidswear,2257.6,3434.22,Jose Coleman,Consumer,3.7,7023,Jared Spence,78.0,Retail Store,3,10269.95,417.2,6772.8,3079.95,11.05,9852.75,UPI,0
63421,ORD-2023-040534,1,2023-11-06,2023,Q4,11,November,East,India,Odisha,Bhubaneswar,Kidswear Shoulder 2,Apparel,Kidswear,2257.6,3434.22,Anthony Gordon,SMB,3.7,7802,Suzanne Lambert,61.0,Retail Store,3,10410.37,612.3,6772.8,3025.27,38.15,9798.070000000002,Net Banking,0
64068,ORD-2022-040957,1,2022-09-11,2022,Q3,9,September,East,India,Assam,Guwahati,Kidswear Shoulder 2,Apparel,Kidswear,2257.6,3434.22,Amy Moore,Corporate,4.0,5432,Alison Delacruz,48.0,Retail Store,1,3395.35,28.27,2257.6,1109.48,43.22,3367.08,UPI,0
64633,ORD-2024-041322,4,2024-07-08,2024,Q3,7,July,South,India,Telangana,Hyderabad,Kidswear Shoulder 2,Apparel,Kidswear,2257.6,3434.22,Victoria King,Consumer,3.8,6346,,,Marketplace,1,3398.5,738.92,2257.6,401.98,14.02,2659.58,Credit Card,1
65534,ORD-2022-041905,1,2022-02-19,2022,Q1,2,February,South,India,Karnataka,Bengaluru,Kidswear Shoulder 2,Apparel,Kidswear,2257.6,3434.22,Christopher Wright,Consumer,3.4,2438,,,Online,1,3467.88,435.61,2257.6,774.67,17.16,3032.27,Credit Card,0
66453,ORD-2025-042470,2,2025-08-10,2025,Q3,8,August,South,India,Tamil Nadu,Chennai,Kidswear Shoulder 2,Apparel,Kidswear,2257.6,3434.22,Brian Lewis,Corporate,2.8,5434,Jesse Yang,89.0,Distributor,1,3474.64,420.76,2257.6,796.28,15.65,3053.88,UPI,0
